batch_id,upload_exists,developed_exists,raw_number,jpg_number,metadata_exists,metadata_json_number
MD-2024-04-11/,0,1,0,200,0,0
MD_2022-06-13/,0,1,0,39,0,0
MD_2022-06-21/,0,1,0,267,0,0
MD_2022-06-22/,0,1,0,500,0,0
MD_2022-06-24/,0,1,0,414,1,414
MD_2022-06-27/,0,1,0,179,1,179
MD_2022-06-28/,0,1,0,491,1,491
MD_2022-06-29/,0,1,0,633,1,633
MD_2022-07-01/,0,1,0,433,1,433
MD_2022-07-05/,0,1,0,288,1,288
MD_2022-07-06/,0,1,0,588,1,588
MD_2022-07-08/,0,1,0,296,1,296
MD_2022-07-15/,0,1,0,479,1,479
MD_2022-07-18/,0,1,0,447,1,447
MD_2022-07-20/,0,1,0,461,1,461
MD_2022-07-22/,0,1,0,461,1,461
MD_2022-07-28/,0,1,0,459,1,444
MD_2022-08-01/,0,1,0,115,1,115
MD_2022-08-03/,0,1,0,152,1,152
MD_2022-08-04/,0,1,0,478,1,478
MD_2022-08-05/,0,1,0,471,1,471
MD_2022-08-08/,0,1,0,531,1,523
MD_2022-08-09/,0,1,0,502,1,502
MD_2022-08-10/,0,1,0,417,1,413
MD_2022-08-12/,0,1,0,521,1,514
MD_2022-08-15/,0,1,0,531,1,531
MD_2022-08-17/,0,1,0,552,1,542
MD_2022-08-24/,0,1,0,536,1,533
MD_2022-08-26/,0,1,0,528,1,528
MD_2022-08-29/,0,1,0,610,1,603
MD_2022-08-31/,0,1,0,518,1,518
MD_2022-09-08/,0,1,0,220,0,0
MD_2022-09-09/,0,1,0,232,1,232
MD_2022-09-12/,0,1,0,180,1,180
MD_2022-09-16/,0,1,0,224,1,224
MD_2022-09-17/,0,1,0,147,1,147
MD_2022-10-11/,0,1,0,120,1,118
MD_2022-10-20/,0,1,0,247,1,243
MD_2022-10-21/,0,1,0,212,1,212
MD_2022-10-25/,0,1,0,271,0,0
MD_2022-10-27/,0,1,0,212,1,212
MD_2022-10-31/,0,1,0,402,1,402
MD_2022-11-03/,0,1,0,260,1,256
MD_2022-11-04/,0,1,0,150,1,150
MD_2022-11-07/,0,1,0,511,1,510
MD_2022-11-10/,0,1,0,476,1,469
MD_2022-11-14/,0,1,0,268,1,268
MD_2022-11-15/,0,1,0,9,0,0
MD_2023-03-16/,0,1,0,91,1,91
MD_2023-03-17/,0,1,0,147,1,147
MD_2023-03-18/,0,1,0,136,1,136
MD_2023-03-20/,0,1,0,450,0,0
MD_2023-03-21/,0,1,0,398,1,398
MD_2023-03-28/,0,1,0,459,0,0
MD_2023-03-30/,0,1,0,163,1,163
MD_2023-04-03/,0,1,0,502,1,501
MD_2023-04-06/,0,1,0,447,0,0
MD_2023-04-11/,0,1,0,395,1,395
MD_2023-04-13/,0,1,0,378,1,378
MD_2023-04-18/,0,1,0,403,1,403
MD_2023-04-21/,0,1,0,448,1,448
MD_2023-04-24/,0,1,0,272,1,272
MD_2023-04-25/,0,1,0,206,1,162
MD_2023-05-12/,0,1,0,24,1,24
MD_2023-05-13/,0,1,0,212,1,212
MD_2023-05-15/,0,1,0,377,1,377
MD_2023-05-16/,0,1,0,318,1,318
MD_2023-05-17/,0,1,0,719,1,718
MD_2023-05-18/,0,1,0,18,0,0
MD_2023-05-19/,0,1,0,658,1,658
MD_2023-05-22/,0,1,0,461,1,461
MD_2023-05-23/,0,1,0,425,1,425
MD_2023-05-24/,0,1,0,227,1,227
MD_2023-05-25/,0,1,0,216,1,216
MD_2023-05-26/,0,1,0,507,0,0
MD_2023-05-30/,0,1,0,456,0,0
MD_2023-06-20/,0,1,0,433,1,433
MD_2023-06-26/,0,1,0,315,1,315
MD_2023-06-27/,0,1,0,349,0,0
MD_2023-06-28/,0,1,0,448,1,448
MD_2023-06-29/,0,1,0,444,1,444
MD_2023-06-30/,0,1,0,336,1,336
MD_2023-07-03/,0,1,0,453,0,0
MD_2023-07-05/,0,1,0,219,1,219
MD_2023-07-07/,0,1,0,279,0,0
MD_2023-07-17/,0,1,0,76,0,0
MD_2023-07-18/,0,1,0,108,0,0
MD_2023-07-19/,0,1,0,164,0,0
MD_2023-07-20/,0,1,0,201,1,201
MD_2023-07-21/,0,1,0,165,1,165
MD_2023-07-24/,0,1,0,220,1,220
MD_2023-07-25/,0,1,0,280,1,280
MD_2023-07-26/,0,1,0,338,0,0
MD_2023-07-27/,0,1,0,336,1,336
MD_2023-07-28/,0,1,0,339,1,178
MD_2023-07-31/,0,1,0,337,1,134
MD_2023-08-01/,0,1,0,373,1,155
MD_2023-08-02/,0,1,0,340,1,340
MD_2023-08-03/,0,1,0,348,1,348
MD_2023-08-04/,0,1,0,349,0,0
MD_2023-08-08/,0,1,0,325,0,0
MD_2023-08-09/,0,1,0,328,1,273
MD_2023-08-14/,0,1,0,336,0,0
MD_2023-08-15/,0,1,0,392,1,392
MD_2023-08-17/,0,1,0,336,1,336
MD_2023-08-18/,0,1,0,336,0,0
MD_2023-08-21/,0,1,0,215,0,0
MD_2023-08-22/,0,1,0,220,0,0
MD_2023-08-24/,0,1,0,273,0,0
MD_2023-08-28/,0,1,0,29,0,0
MD_2023-09-18/,0,1,0,464,1,464
MD_2023-09-20/,0,1,0,292,1,292
MD_2023-09-21/,0,1,0,460,1,460
MD_2023-09-27/,0,1,0,473,1,473
MD_2023-09-29/,0,1,0,464,1,464
MD_2023-10-10/,0,1,0,464,1,345
MD_2023-10-13/,0,1,0,460,1,460
MD_2023-10-17/,0,1,0,464,1,464
MD_2023-10-20/,0,1,0,407,1,404
MD_2023-10-27/,0,1,0,367,1,365
MD_2023-10-31/,0,1,0,222,1,222
MD_2024-03-20/,0,1,0,89,1,89
MD_2024-03-21/,0,1,0,199,1,199
MD_2024-03-26/,0,1,0,200,0,0
MD_2024-03-29/,0,1,0,200,1,200
MD_2024-04-09/,0,1,0,200,1,200
MD_2024-04-15/,0,1,0,209,1,203
MD_2024-04-22/,0,1,0,206,1,203
MD_2024-04-26/,0,1,0,206,1,206
MD_2024-05-01/,0,1,0,27,0,0
MD_2024-05-06/,0,1,0,200,1,200
MD_2024-05-14/,0,1,0,0,0,0
MD_2024-05-16/,0,1,0,109,0,0
MD_2024-07-08/,0,1,0,716,0,0
MD_2024-07-09/,0,1,0,770,0,0
MD_2024-07-11/,0,1,0,463,0,0
MD_2024-07-12/,0,1,0,303,0,0
MD_2024-07-15/,0,1,0,802,0,0
MD_2024-07-17/,0,1,0,611,0,0
MD_2024-07-23/,0,1,0,525,1,525
MD_2024-07-25/,0,1,0,781,1,781
MD_2024-07-26/,0,1,0,838,1,838
MD_2024-07-30/,0,1,0,567,1,567
MD_2024-08-05/,0,1,0,692,1,692
MD_2024-08-06/,0,1,0,940,1,940
MD_2024-08-12/,0,1,0,793,1,793
MD_2024-08-13/,0,1,0,749,0,0
MD_2024-08-16/,0,1,0,769,1,769
MD_2024-08-19/,0,1,0,793,0,0
MD_2024-08-20/,0,1,0,735,0,0
MD_2024-08-22/,0,1,0,767,0,0
MD_2024-08-26/,0,1,0,686,1,686
MD_2024-09-17/,0,1,0,179,0,0
MD_2024-09-18/,0,1,0,142,0,0
MD_2024-09-23/,0,1,0,185,0,0
MD_2024-10-15/,0,1,0,500,0,0
MD_2024-10-16/,0,1,0,674,1,674
MD_2024-10-17/,0,1,0,638,1,638
MD_2024-10-22/,0,1,0,700,1,700
MD_2024-10-23/,0,1,0,755,1,755
MD_2024-10-25/,0,1,0,483,1,483
MD_2024-10-28/,0,1,0,235,1,235
MD_2024-10-30/,0,1,0,685,1,685
MD_2024-11-04/,0,1,0,975,1,975
MD_2024-11-06/,0,1,0,782,1,782
MD_2024-11-08/,0,1,0,696,1,696
MD_2024-11-13/,0,1,0,714,1,714
MD_2024-11-15/,0,1,0,485,1,485
MD_2024-11-18/,0,1,0,438,1,438
MD_2025-04-08/,1,0,5,0,0,0
MD_2025-04-09/,1,0,34,0,0,0
MD_2025-04-10/,1,0,23,0,0,0
MD_2025-04-14/,1,1,284,284,0,0
MD_2025-04-16/,1,1,579,579,1,579
MD_2025-04-18/,1,1,588,588,1,588
MD_2025-04-21/,1,1,593,593,1,593
MD_2025-04-23/,1,1,590,590,1,590
MD_2025-04-25/,1,1,588,588,1,588
MD_2025-04-28/,1,1,588,588,1,588
MD_2025-04-29/,1,0,166,0,0,0
MD_2025-04-30/,1,1,928,600,1,600
MD_2025-05-02/,1,1,588,588,1,588
MD_2025-05-05/,1,1,531,531,1,531
MD_2025-05-07/,1,1,482,482,1,482
MD_2025-05-08/,1,1,501,501,1,501
MD_2025-05-12/,1,1,494,494,1,494
MD_2025-05-15/,1,1,964,964,1,485
MD_2025-05-16/,1,1,493,493,1,493
MD_2025-06-06/,1,0,192,0,0,0
MD_2025-06-09/,1,1,757,757,1,757
MD_2025-06-11/,1,1,755,755,1,755
MD_2025-06-13/,1,1,517,517,1,517
MD_2025-06-18/,1,1,216,216,1,216
MD_2025-06-20/,1,1,811,811,1,811
MD_2025-06-23/,1,1,744,744,1,744
MD_2025-06-25/,1,1,745,744,1,744
MD_2025-06-27/,1,1,744,744,1,744
MD_2025-06-30/,0,1,0,747,0,0
MD_2025-07-02/,1,1,751,751,1,751
MD_2025-07-08/,1,1,756,756,1,756
MD_2025-07-09/,1,1,685,685,1,685
MD_2025-07-11/,1,1,697,697,1,697
MD_2025-07-17/,1,1,699,699,1,699
MD_2025-07-21/,1,1,469,469,1,469
MD_2025-07-23/,1,1,480,480,1,480
MD_2025-07-25/,1,1,492,492,1,492
MD_2025-07-28/,1,1,502,502,1,502
MD_2025-08-26/,1,0,300,0,0,0
MD_2025-09-05/,1,1,324,111,1,111
MD_2025-09-09/,1,1,288,226,1,226
NC_2022-06-27/,0,1,0,397,1,397
NC_2022-06-28/,0,1,0,311,0,0
NC_2022-06-30/,0,1,0,618,1,618
NC_2022-07-05/,0,1,0,482,0,0
NC_2022-07-08/,0,1,0,64,1,62
NC_2022-07-11/,0,1,0,366,1,366
NC_2022-07-13/,0,1,0,293,1,291
NC_2022-07-14/,0,1,0,722,0,0
NC_2022-07-15/,0,1,0,686,0,0
NC_2022-07-18/,0,1,0,729,1,726
NC_2022-07-21/,0,1,0,465,1,465
NC_2022-07-22/,0,1,0,691,0,0
NC_2022-07-25/,0,1,0,760,0,0
NC_2022-07-27/,0,1,0,750,0,0
NC_2022-08-03/,0,1,0,692,1,577
NC_2022-08-05/,0,1,0,686,1,686
NC_2022-08-08/,0,1,0,659,1,658
NC_2022-08-09/,0,1,0,676,1,676
NC_2022-08-10/,0,1,0,597,1,596
NC_2022-08-15/,0,1,0,282,1,282
NC_2022-08-17/,0,1,0,656,1,656
NC_2022-08-18/,0,1,0,710,1,710
NC_2022-08-19/,0,1,0,703,1,703
NC_2022-08-22/,0,1,0,466,1,466
NC_2022-08-24/,0,1,0,477,1,477
NC_2022-08-26/,0,1,0,492,1,492
NC_2022-08-29/,0,1,0,481,1,481
NC_2022-08-30/,0,1,0,399,1,388
NC_2022-08-31/,0,1,0,472,1,472
NC_2022-09-01/,0,1,0,446,1,446
NC_2022-09-02/,0,1,0,451,1,451
NC_2022-09-07/,0,1,0,417,1,415
NC_2022-09-08/,0,1,0,465,1,462
NC_2022-09-09/,0,1,0,472,1,467
NC_2022-09-12/,0,1,0,464,1,464
NC_2022-09-14/,0,1,0,484,1,468
NC_2022-09-15/,0,1,0,451,1,451
